FactrAI - User Growth Model (Monthly Detail)

Month,Year,New Users - Lite,New Users - Pro,New Users - Enterprise,Churned - Lite,Churned - Pro,Churned - Enterprise,Active Lite,Active Pro,Active Enterprise,Total Active Users,Monthly Churn %,MoM Growth %
0,0,0,0,0,0,0,0,0,0,0,0,-,-
1,1,35,13,2,0,0,0,35,13,2,50,0.0%,-
2,1,42,15,3,2,0,0,75,28,5,108,1.9%,116.0%
3,1,49,18,3,3,1,0,121,45,8,174,2.3%,61.1%
4,1,56,20,4,5,1,0,172,64,12,248,2.4%,42.5%
5,1,63,23,4,8,2,0,227,85,16,328,3.0%,32.3%
6,1,70,25,5,10,2,0,287,108,21,416,2.9%,26.8%
7,1,84,30,6,13,3,0,358,135,27,520,3.1%,25.0%
8,1,91,33,6,16,3,0,433,165,33,631,3.0%,21.3%
9,1,98,35,7,19,4,0,512,196,40,748,3.1%,18.5%
10,1,105,38,7,23,5,0,594,229,47,870,3.2%,16.3%
11,1,112,40,8,27,6,0,679,263,55,997,3.3%,14.6%
12,1,119,43,8,31,7,1,767,299,62,1128,3.4%,13.1%
13,2,140,50,10,31,6,0,876,343,72,1291,2.9%,14.5%
14,2,147,53,10,35,7,1,988,389,81,1458,3.0%,12.9%
15,2,154,55,11,40,8,1,1102,436,91,1629,3.0%,11.7%
16,2,161,58,11,44,9,1,1219,485,101,1805,3.0%,10.8%
17,2,168,60,12,49,10,1,1338,535,112,1985,3.0%,10.0%
18,2,175,63,12,54,11,1,1459,587,123,2169,3.0%,9.3%
19,2,182,65,13,58,12,1,1583,640,135,2358,3.0%,8.7%
20,2,196,70,14,63,13,1,1716,697,148,2561,3.0%,8.6%
21,2,203,73,14,69,14,1,1850,756,161,2767,3.0%,8.0%
22,2,210,75,15,74,15,1,1986,816,175,2977,3.0%,7.6%
23,2,217,78,15,79,16,1,2124,878,189,3191,3.0%,7.2%
24,2,224,80,16,85,18,2,2263,940,203,3406,3.1%,6.7%
25,3,280,100,20,79,16,1,2464,1024,222,3710,2.6%,8.9%
26,3,287,103,20,86,18,1,2665,1109,241,4015,2.6%,8.2%
27,3,294,105,21,93,20,1,2866,1194,261,4321,2.6%,7.6%
28,3,301,108,21,100,21,1,3067,1281,281,4629,2.6%,7.1%
29,3,308,110,22,107,23,1,3268,1368,302,4938,2.7%,6.7%
30,3,315,113,22,114,25,2,3469,1456,322,5247,2.7%,6.3%
31,3,329,118,23,121,26,2,3677,1548,343,5568,2.7%,6.1%
32,3,336,120,24,129,28,2,3884,1640,365,5889,2.7%,5.8%
33,3,343,123,24,136,30,2,4091,1733,387,6211,2.7%,5.5%
34,3,350,125,25,143,31,2,4298,1827,410,6535,2.7%,5.2%
35,3,357,128,25,150,33,2,4505,1922,433,6860,2.7%,5.0%
36,3,364,130,26,158,35,2,4711,2017,457,7185,2.7%,4.7%
37,4,420,150,30,141,30,2,4990,2137,485,7612,2.3%,5.9%
38,4,427,153,30,150,32,2,5267,2258,513,8038,2.3%,5.6%
39,4,434,155,31,158,34,3,5543,2379,541,8463,2.3%,5.3%
40,4,441,158,31,166,36,3,5818,2501,569,8888,2.3%,5.0%
41,4,448,160,32,175,38,3,6091,2623,598,9312,2.3%,4.8%
42,4,455,163,32,183,39,3,6363,2747,627,9737,2.3%,4.6%
43,4,469,168,33,191,41,3,6641,2874,657,10172,2.3%,4.5%
44,4,476,170,34,199,43,3,6918,3001,688,10607,2.3%,4.3%
45,4,483,173,34,208,45,3,7193,3129,719,11041,2.3%,4.1%
46,4,490,175,35,216,47,4,7467,3257,750,11474,2.3%,3.9%
47,4,497,178,35,224,49,4,7740,3386,781,11907,2.4%,3.8%
48,4,504,180,36,232,51,4,8012,3515,813,12340,2.3%,3.6%
49,5,588,210,42,200,42,2,8400,3683,853,12936,1.9%,4.8%
50,5,595,213,42,210,44,3,8785,3852,892,13529,1.9%,4.6%
51,5,602,215,43,220,46,3,9167,4021,932,14120,1.9%,4.4%
52,5,609,218,43,229,48,3,9547,4191,972,14710,2.0%,4.2%
53,5,616,220,44,239,50,3,9924,4361,1013,15298,2.0%,4.0%
54,5,623,223,44,248,52,3,10299,4532,1054,15885,2.0%,3.8%
55,5,637,228,45,257,54,3,10679,4706,1096,16481,1.9%,3.8%
56,5,644,230,46,267,57,3,11056,4879,1139,17074,2.0%,3.6%
57,5,651,233,46,276,59,3,11431,5053,1182,17666,2.0%,3.5%
58,5,658,235,47,286,61,4,11803,5227,1225,18255,2.0%,3.3%
59,5,665,238,47,295,63,4,12173,5402,1268,18843,2.0%,3.2%
60,5,672,240,48,304,65,4,12541,5577,1312,19430,2.0%,3.1%

ANNUAL SUMMARY,,,,,,,,,,,,
Year,New Lite,New Pro,New Enterprise,Total New Users,End Lite,End Pro,End Enterprise,Total End Users,Avg Monthly Churn,Annual Growth
1,884,318,66,1268,767,299,62,1128,3.0%,-
2,"2,254",809,162,3225,"2,263",940,203,3406,3.0%,202.0%
3,"3,934","1,411",282,5627,"4,711","2,017",457,7185,2.7%,110.9%
4,"5,600","2,007",401,8008,"8,012","3,515",813,12340,2.3%,71.8%
5,"7,560","2,709",541,10810,"12,541","5,577","1,312",19430,2.0%,57.5%

USER MIX VALIDATION,,,,,,,,,,,,
Year,Lite %,Pro %,Enterprise %,Target Lite %,Target Pro %,Target Enterprise %,Mix Variance
1,68.0%,26.5%,5.5%,70.0%,25.0%,5.0%,±1.5%
2,66.4%,27.6%,6.0%,70.0%,25.0%,5.0%,±3.6%
3,65.6%,28.1%,6.4%,70.0%,25.0%,5.0%,±4.4%
4,64.9%,28.5%,6.6%,70.0%,25.0%,5.0%,±5.1%
5,64.5%,28.7%,6.8%,70.0%,25.0%,5.0%,±5.5%

COHORT RETENTION ANALYSIS,,,,,,,,,,,,
Cohort Start,Month 6,Month 12,Month 18,Month 24,Month 36,Month 48,Month 60,Notes
Year 1,78%,68%,62%,57%,48%,41%,36%,Early adopters - high engagement
Year 2,-,82%,75%,70%,61%,53%,47%,Product improvements - better retention
Year 3,-,-,85%,80%,72%,65%,59%,Market fit achieved
Year 4,-,-,-,88%,82%,76%,71%,Strong value proposition
Year 5,-,-,-,-,90%,85%,81%,Mature product
