FactrAI - Revenue Model (Monthly Detail)

Month,Year,Active Lite,Active Pro,Active Enterprise,Lite Revenue ($15),Pro Revenue ($40),Enterprise Revenue ($100),Subscription Revenue,Affiliate Revenue (15%),Credit Breakage (8%),Total Revenue,MoM Growth %,Cumulative Revenue
1,1,35,13,2,$525,$520,$200,"$1,245",$187,$100,"$1,532",-,"$1,532"
2,1,75,28,5,"$1,125","$1,120",$500,"$2,745",$412,$220,"$3,377",120.4%,"$4,909"
3,1,121,45,8,"$1,815","$1,800",$800,"$4,415",$662,$353,"$5,430",60.8%,"$10,339"
4,1,172,64,12,"$2,580","$2,560","$1,200","$6,340",$951,$507,"$7,798",43.6%,"$18,137"
5,1,227,85,16,"$3,405","$3,400","$1,600","$8,405","$1,261",$672,"$10,338",32.6%,"$28,475"
6,1,287,108,21,"$4,305","$4,320","$2,100","$10,725","$1,609",$858,"$13,192",27.6%,"$41,667"
7,1,358,135,27,"$5,370","$5,400","$2,700","$13,470","$2,021","$1,078","$16,569",25.6%,"$58,236"
8,1,433,165,33,"$6,495","$6,600","$3,300","$16,395","$2,459","$1,312","$20,166",21.7%,"$78,402"
9,1,512,196,40,"$7,680","$7,840","$4,000","$19,520","$2,928","$1,562","$24,010",19.1%,"$102,412"
10,1,594,229,47,"$8,910","$9,160","$4,700","$22,770","$3,416","$1,822","$28,008",16.6%,"$130,420"
11,1,679,263,55,"$10,185","$10,520","$5,500","$26,205","$3,931","$2,096","$32,232",15.1%,"$162,652"
12,1,767,299,62,"$11,505","$11,960","$6,200","$29,665","$4,450","$2,373","$36,488",13.2%,"$199,140"
13,2,876,343,72,"$13,140","$13,720","$7,200","$34,060","$5,109","$2,725","$41,894",14.8%,"$241,034"
14,2,988,389,81,"$14,820","$15,560","$8,100","$38,480","$5,772","$3,078","$47,330",13.0%,"$288,364"
15,2,"1,102",436,91,"$16,530","$17,440","$9,100","$43,070","$6,461","$3,446","$52,977",11.9%,"$341,341"
16,2,"1,219",485,101,"$18,285","$19,400","$10,100","$47,785","$7,168","$3,823","$58,776",10.9%,"$400,117"
17,2,"1,338",535,112,"$20,070","$21,400","$11,200","$52,670","$7,901","$4,214","$64,785",10.2%,"$464,902"
18,2,"1,459",587,123,"$21,885","$23,480","$12,300","$57,665","$8,650","$4,613","$70,928",9.5%,"$535,830"
19,2,"1,583",640,135,"$23,745","$25,600","$13,500","$62,845","$9,427","$5,028","$77,300",9.0%,"$613,130"
20,2,"1,716",697,148,"$25,740","$27,880","$14,800","$68,420","$10,263","$5,474","$84,157",8.9%,"$697,287"
21,2,"1,850",756,161,"$27,750","$30,240","$16,100","$74,090","$11,114","$5,927","$91,131",8.3%,"$788,418"
22,2,"1,986",816,175,"$29,790","$32,640","$17,500","$79,930","$11,990","$6,394","$98,314",7.9%,"$886,732"
23,2,"2,124",878,189,"$31,860","$35,120","$18,900","$85,880","$12,882","$6,870","$105,632",7.4%,"$992,364"
24,2,"2,263",940,203,"$33,945","$37,600","$20,300","$91,845","$13,777","$7,348","$112,970",7.0%,"$1,105,334"
25,3,"2,464","1,024",222,"$36,960","$40,960","$22,200","$100,120","$15,018","$8,010","$123,148",9.0%,"$1,228,482"
26,3,"2,665","1,109",241,"$39,975","$44,360","$24,100","$108,435","$16,265","$8,675","$133,375",8.3%,"$1,361,857"
27,3,"2,866","1,194",261,"$42,990","$47,760","$26,100","$116,850","$17,528","$9,348","$143,726",7.8%,"$1,505,583"
28,3,"3,067","1,281",281,"$46,005","$51,240","$28,100","$125,345","$18,802","$10,028","$154,175",7.3%,"$1,659,758"
29,3,"3,268","1,368",302,"$49,020","$54,720","$30,200","$133,940","$20,091","$10,715","$164,746",6.9%,"$1,824,504"
30,3,"3,469","1,456",322,"$52,035","$58,240","$32,200","$142,475","$21,371","$11,398","$175,244",6.4%,"$1,999,748"
31,3,"3,677","1,548",343,"$55,155","$61,920","$34,300","$151,375","$22,706","$12,110","$186,191",6.2%,"$2,185,939"
32,3,"3,884","1,640",365,"$58,260","$65,600","$36,500","$160,360","$24,054","$12,829","$197,243",5.9%,"$2,383,182"
33,3,"4,091","1,733",387,"$61,365","$69,320","$38,700","$169,385","$25,408","$13,551","$208,344",5.6%,"$2,591,526"
34,3,"4,298","1,827",410,"$64,470","$73,080","$41,000","$178,550","$26,783","$14,284","$219,617",5.4%,"$2,811,143"
35,3,"4,505","1,922",433,"$67,575","$76,880","$43,300","$187,755","$28,163","$15,020","$230,938",5.2%,"$3,042,081"
36,3,"4,711","2,017",457,"$70,665","$80,680","$45,700","$197,045","$29,557","$15,764","$242,366",5.0%,"$3,284,447"
37,4,"4,990","2,137",485,"$74,850","$85,480","$48,500","$208,830","$31,325","$16,706","$256,861",6.0%,"$3,541,308"
38,4,"5,267","2,258",513,"$79,005","$90,320","$51,300","$220,625","$33,094","$17,650","$271,369",5.6%,"$3,812,677"
39,4,"5,543","2,379",541,"$83,145","$95,160","$54,100","$232,405","$34,861","$18,592","$285,858",5.3%,"$4,098,535"
40,4,"5,818","2,501",569,"$87,270","$100,040","$56,900","$244,210","$36,632","$19,537","$300,379",5.1%,"$4,398,914"
41,4,"6,091","2,623",598,"$91,365","$104,920","$59,800","$252,085","$37,813","$20,167","$310,065",3.2%,"$4,708,979"
42,4,"6,363","2,747",627,"$95,445","$109,880","$62,700","$268,025","$40,204","$21,442","$329,671",6.3%,"$5,038,650"
43,4,"6,641","2,874",657,"$99,615","$114,960","$65,700","$280,275","$42,041","$22,422","$344,738",4.6%,"$5,383,388"
44,4,"6,918","3,001",688,"$103,770","$120,040","$68,800","$292,610","$43,892","$23,409","$359,911",4.4%,"$5,743,299"
45,4,"7,193","3,129",719,"$107,895","$125,160","$71,900","$305,955","$45,769","$24,476","$375,200",4.2%,"$6,118,499"
46,4,"7,467","3,257",750,"$112,005","$130,280","$75,000","$317,285","$47,593","$25,383","$390,261",4.0%,"$6,508,760"
47,4,"7,740","3,386",781,"$116,100","$135,440","$78,100","$329,640","$49,446","$26,371","$405,457",3.9%,"$6,914,217"
48,4,"8,012","3,515",813,"$120,180","$140,600","$81,300","$342,080","$51,312","$27,366","$420,758",3.8%,"$7,334,975"
49,5,"8,400","3,683",853,"$126,000","$147,320","$85,300","$358,620","$53,793","$28,690","$441,103",4.8%,"$7,776,078"
50,5,"8,785","3,852",892,"$131,775","$154,080","$89,200","$375,055","$56,258","$30,004","$461,317",4.6%,"$8,237,395"
51,5,"9,167","4,021",932,"$137,505","$160,840","$93,200","$391,545","$58,732","$31,324","$481,601",4.4%,"$8,718,996"
52,5,"9,547","4,191",972,"$143,205","$167,640","$97,200","$408,045","$61,207","$32,644","$501,896",4.2%,"$9,220,892"
53,5,"9,924","4,361","1,013","$148,860","$174,440","$101,300","$424,600","$63,690","$33,968","$522,258",4.1%,"$9,743,150"
54,5,"10,299","4,532","1,054","$154,485","$181,280","$105,400","$441,165","$66,175","$35,293","$542,633",3.9%,"$10,285,783"
55,5,"10,679","4,706","1,096","$160,185","$188,240","$109,600","$458,025","$68,704","$36,642","$563,371",3.8%,"$10,849,154"
56,5,"11,056","4,879","1,139","$165,840","$195,160","$113,900","$474,900","$71,235","$37,992","$584,127",3.7%,"$11,433,281"
57,5,"11,431","5,053","1,182","$171,465","$202,120","$118,200","$491,785","$73,768","$39,343","$604,896",3.6%,"$12,038,177"
58,5,"11,803","5,227","1,225","$177,045","$209,080","$122,500","$508,625","$76,294","$40,690","$625,609",3.4%,"$12,663,786"
59,5,"12,173","5,402","1,268","$182,595","$216,080","$126,800","$525,475","$78,821","$42,038","$646,334",3.3%,"$13,310,120"
60,5,"12,541","5,577","1,312","$188,115","$223,080","$131,200","$542,395","$81,359","$43,392","$667,146",3.2%,"$13,977,266"

ANNUAL REVENUE SUMMARY,,,,,,,,,,,,
Year,Lite Revenue,Pro Revenue,Enterprise Revenue,Subscription Revenue,Affiliate Revenue,Breakage Revenue,Total Revenue,YoY Growth %,Average Monthly
1,"$68,145","$72,800","$35,000","$175,945","$26,392","$14,076","$216,413",-,"$18,034"
2,"$298,635","$321,920","$167,000","$787,555","$118,133","$63,004","$968,692",347.7%,"$80,724"
3,"$658,320","$706,720","$370,600","$1,735,640","$260,346","$138,851","$2,134,837",120.4%,"$177,903"
4,"$1,201,770","$1,290,680","$745,200","$3,237,650","$485,648","$259,012","$3,982,310",86.6%,"$331,859"
5,"$1,886,070","$2,025,720","$1,201,600","$5,113,390","$767,009","$409,071","$6,289,470",57.9%,"$524,123"

REVENUE METRICS,,,,,,,,,,,,
Year,ARPU (All Users),Lite ARPU,Pro ARPU,Enterprise ARPU,Subscription Mix,Affiliate Mix,Breakage Mix
1,$15.97,$14.83,$20.29,$47.06,81.3%,12.2%,6.5%
2,$23.70,$11.03,$28.55,$68.61,81.3%,12.2%,6.5%
3,$24.79,$11.65,$29.23,$67.66,81.3%,12.2%,6.5%
4,$26.93,$12.51,$30.62,$76.44,81.3%,12.2%,6.5%
5,$27.00,$12.54,$30.29,$76.43,81.3%,12.2%,6.5%
