FactrAI - Publisher Payouts & Network Economics

Month,Year,Partner Publishers,Active Users,Articles/User/Month,Total Articles Unlocked,Avg Payout/Article,Total Publisher Payouts,Revenue Share %,Payout/Revenue Ratio
1,1,5,50,6,300,$0.50,$150,65%,9.8%
2,1,7,108,6,648,$0.50,$324,65%,9.6%
3,1,9,174,6,"1,044",$0.50,$522,65%,9.6%
4,1,11,248,6,"1,488",$0.50,$744,65%,9.5%
5,1,13,328,6,"1,968",$0.50,$984,65%,9.5%
6,1,15,416,6,"2,496",$0.50,"$1,248",65%,9.5%
7,1,17,520,6,"3,120",$0.50,"$1,560",65%,9.4%
8,1,19,631,6,"3,786",$0.50,"$1,893",65%,9.4%
9,1,21,748,6,"4,488",$0.50,"$2,244",65%,9.3%
10,1,23,870,6,"5,220",$0.50,"$2,610",65%,9.3%
11,1,25,997,6,"5,982",$0.50,"$2,991",65%,9.3%
12,1,25,"1,128",6,"6,768",$0.50,"$3,384",65%,9.3%
13,2,28,"1,291",6,"7,746",$0.50,"$3,873",65%,9.2%
14,2,31,"1,458",6,"8,748",$0.50,"$4,374",65%,9.2%
15,2,34,"1,629",6,"9,774",$0.50,"$4,887",65%,9.2%
16,2,37,"1,805",6,"10,830",$0.50,"$5,415",65%,9.2%
17,2,40,"1,985",6,"11,910",$0.50,"$5,955",65%,9.2%
18,2,43,"2,169",6,"13,014",$0.50,"$6,507",65%,9.2%
19,2,46,"2,358",6,"14,148",$0.50,"$7,074",65%,9.2%
20,2,50,"2,561",6,"15,366",$0.50,"$7,683",65%,9.1%
21,2,53,"2,767",6,"16,602",$0.50,"$8,301",65%,9.1%
22,2,56,"2,977",6,"17,862",$0.50,"$8,931",65%,9.1%
23,2,59,"3,191",6,"19,146",$0.50,"$9,573",65%,9.1%
24,2,62,"3,406",6,"20,436",$0.50,"$10,218",65%,9.0%
25,3,66,"3,710",6,"22,260",$0.50,"$11,130",65%,9.0%
26,3,69,"4,015",6,"24,090",$0.50,"$12,045",65%,9.0%
27,3,73,"4,321",6,"25,926",$0.50,"$12,963",65%,9.0%
28,3,77,"4,629",6,"27,774",$0.50,"$13,887",65%,9.0%
29,3,81,"4,938",6,"29,628",$0.50,"$14,814",65%,9.0%
30,3,85,"5,247",6,"31,482",$0.50,"$15,741",65%,9.0%
31,3,91,"5,568",6,"33,408",$0.50,"$16,704",65%,9.0%
32,3,97,"5,889",6,"35,334",$0.50,"$17,667",65%,9.0%
33,3,103,"6,211",6,"37,266",$0.50,"$18,633",65%,8.9%
34,3,109,"6,535",6,"39,210",$0.50,"$19,605",65%,8.9%
35,3,115,"6,860",6,"41,160",$0.50,"$20,580",65%,8.9%
36,3,121,"7,185",6,"43,110",$0.50,"$21,555",65%,8.9%
37,4,130,"7,612",6,"45,672",$0.50,"$22,836",65%,8.9%
38,4,139,"8,038",6,"48,228",$0.50,"$24,114",65%,8.9%
39,4,148,"8,463",6,"50,778",$0.50,"$25,389",65%,8.9%
40,4,157,"8,888",6,"53,328",$0.50,"$26,664",65%,8.9%
41,4,166,"9,312",6,"55,872",$0.50,"$27,936",65%,9.0%
42,4,175,"9,737",6,"58,422",$0.50,"$29,211",65%,8.9%
43,4,187,"10,172",6,"61,032",$0.50,"$30,516",65%,8.9%
44,4,199,"10,607",6,"63,642",$0.50,"$31,821",65%,8.8%
45,4,211,"11,041",6,"66,246",$0.50,"$33,123",65%,8.8%
46,4,223,"11,474",6,"68,844",$0.50,"$34,422",65%,8.8%
47,4,235,"11,907",6,"71,442",$0.50,"$35,721",65%,8.8%
48,4,247,"12,340",6,"74,040",$0.50,"$37,020",65%,8.8%
49,5,262,"12,936",6,"77,616",$0.50,"$38,808",65%,8.8%
50,5,277,"13,529",6,"81,174",$0.50,"$40,587",65%,8.8%
51,5,292,"14,120",6,"84,720",$0.50,"$42,360",65%,8.8%
52,5,307,"14,710",6,"88,260",$0.50,"$44,130",65%,8.8%
53,5,322,"15,298",6,"91,788",$0.50,"$45,894",65%,8.8%
54,5,335,"15,885",6,"95,310",$0.50,"$47,655",65%,8.8%
55,5,343,"16,481",6,"98,886",$0.50,"$49,443",65%,8.8%
56,5,350,"17,074",6,"102,444",$0.50,"$51,222",65%,8.8%
57,5,350,"17,666",6,"105,996",$0.50,"$52,998",65%,8.8%
58,5,350,"18,255",6,"109,530",$0.50,"$54,765",65%,8.8%
59,5,350,"18,843",6,"113,058",$0.50,"$56,529",65%,8.7%
60,5,350,"19,430",6,"116,580",$0.50,"$58,290",65%,8.7%

ANNUAL PUBLISHER SUMMARY,,,,,,,,,
Year,Avg Publishers,Total Articles,Total Payouts,Avg Monthly Payout,Payout Growth YoY,Payout % of Revenue,Publisher Acquisition,Payout/Publisher/Year
1,16,"43,542","$21,771","$1,814",-,10.1%,20,"$1,361"
2,48,"174,636","$87,318","$7,277",301.1%,9.0%,37,"$1,819"
3,91,"398,238","$199,119","$16,593",128.0%,9.3%,59,"$2,188"
4,187,"724,644","$362,322","$30,194",81.9%,9.1%,126,"$1,937"
5,326,"1,147,362","$573,681","$47,807",58.3%,9.1%,103,"$1,761"

PUBLISHER NETWORK GROWTH,,,,,,,,,
Quarter,Publishers (Start),New Publishers,Churned Publishers,Net Growth,Publishers (End),QoQ Growth %,Cumulative Articles,Articles/Publisher
Q1 Y1,5,10,0,10,15,200%,"8,148",543
Q2 Y1,15,5,0,5,20,33%,"13,674",683
Q3 Y1,20,3,0,3,23,15%,"20,640",897
Q4 Y1,23,2,0,2,25,9%,"29,580","1,183"
Q1 Y2,25,10,0,10,35,40%,"50,922","1,455"
Q2 Y2,35,12,0,12,47,34%,"75,846","1,614"
Q3 Y2,47,10,0,10,57,21%,"104,040","1,825"
Q4 Y2,57,5,0,5,62,9%,"135,150","2,180"
Q1 Y3,62,15,0,15,77,24%,"180,126","2,340"
Q2 Y3,77,18,0,18,95,23%,"229,374","2,415"
Q3 Y3,95,15,0,15,110,16%,"282,468","2,568"
Q4 Y3,110,11,0,11,121,10%,"339,348","2,805"
Q1 Y4,121,25,0,25,146,21%,"413,964","2,835"
Q2 Y4,146,35,0,35,181,24%,"493,686","2,727"
Q3 Y4,181,35,0,35,216,19%,"578,334","2,677"
Q4 Y4,216,31,0,31,247,14%,"667,584","2,703"
Q1 Y5,247,40,0,40,287,16%,"775,944","2,703"
Q2 Y5,287,35,0,35,322,12%,"889,032","2,761"
Q3 Y5,322,20,0,20,342,6%,"1,006,698","2,943"
Q4 Y5,342,8,0,8,350,2%,"1,128,324","3,224"

PUBLISHER TIER DISTRIBUTION,,,,,,,,,
Tier,Description,% of Network,Avg Payout/Article,Articles/Month,Monthly Revenue/Publisher,Annual Revenue/Publisher,Example Publishers
Premium Tier,"NYT, WSJ, FT",10%,$0.80,"1,200",$960,"$11,520","The New York Times, Wall Street Journal"
Mid Tier,"Regional & Niche",60%,$0.50,800,$400,"$4,800","Boston Globe, TechCrunch, The Atlantic"
Emerging Tier,Small/Independent,30%,$0.25,400,$100,"$1,200","Local news, specialized blogs"

PUBLISHER ACQUISITION COST,,,,,,,,,
Year,New Publishers,BD Cost/Publisher,Total BD Investment,Avg Time to Onboard,Integration Cost,Total Acquisition Cost,Cost/Publisher,
1,20,"$5,000","$100,000",3 months,"$2,000","$140,000","$7,000",
2,37,"$4,500","$166,500",2 months,"$1,800","$233,100","$6,300",
3,59,"$4,000","$236,000",2 months,"$1,500","$324,500","$5,500",
4,126,"$3,500","$441,000",1 month,"$1,200","$592,200","$4,700",
5,103,"$3,000","$309,000",1 month,"$1,000","$412,000","$4,000",

PUBLISHER SATISFACTION & RETENTION,,,,,,,,,
Year,Active Publishers,Revenue to Publishers,Avg Rev/Publisher,Publisher NPS,Retention Rate,Publishers Referring Others,Key Satisfaction Drivers,
1,25,"$217,710","$8,708",45,100%,8,"Data sharing, incremental revenue"
2,62,"$873,180","$14,083",58,100%,22,"Growing user base, predictable payouts"
3,121,"$1,991,190","$16,456",68,98%,48,"Lead generation, conversion to direct subs"
4,247,"$3,623,220","$14,668",72,97%,89,"Volume scale, verified human network"
5,350,"$5,736,810","$16,391",75,96%,125,"Market leadership, B2B enterprise adoption"
