FactrAI - Operating Expenditure Budget (60 Months)

Month,Year,Personnel,CAC Spend,Tech Infrastructure,Publisher BD,Legal & Compliance,Marketing,General & Admin,Total OpEx,OpEx/Revenue Ratio,Cumulative OpEx
0,0,"$120,000",$0,"$10,000",$0,"$5,000",$0,"$5,000","$140,000",-,"$140,000"
1,1,"$180,000","$3,750","$14,000","$20,000","$8,000","$5,000","$10,000","$240,750",15715%,"$380,750"
2,1,"$180,000","$5,250","$14,000","$20,000","$8,000","$7,000","$10,000","$244,250",7232%,"$625,000"
3,1,"$180,000","$6,750","$14,000","$20,000","$8,000","$9,000","$10,000","$247,750",4562%,"$872,750"
4,1,"$180,000","$8,250","$14,000","$20,000","$8,000","$11,000","$10,000","$251,250",3222%,"$1,124,000"
5,1,"$200,000","$9,750","$14,000","$25,000","$10,000","$13,000","$12,000","$283,750",2745%,"$1,407,750"
6,1,"$200,000","$11,250","$14,000","$25,000","$10,000","$15,000","$12,000","$287,250",2178%,"$1,695,000"
7,1,"$220,000","$13,500","$14,000","$30,000","$10,000","$17,000","$13,000","$317,500",1916%,"$2,012,500"
8,1,"$220,000","$14,625","$14,000","$30,000","$10,000","$19,000","$13,000","$320,625",1590%,"$2,333,125"
9,1,"$240,000","$15,750","$14,000","$30,000","$12,000","$21,000","$14,000","$346,750",1444%,"$2,679,875"
10,1,"$240,000","$16,875","$14,000","$30,000","$12,000","$23,000","$14,000","$349,875",1249%,"$3,029,750"
11,1,"$260,000","$18,000","$14,000","$35,000","$12,000","$25,000","$15,000","$379,000",1176%,"$3,408,750"
12,1,"$260,000","$19,125","$14,000","$35,000","$12,000","$27,000","$15,000","$382,125",1047%,"$3,790,875"
13,2,"$280,000","$22,050","$16,000","$40,000","$15,000","$30,000","$17,000","$420,050",1003%,"$4,210,925"
14,2,"$280,000","$23,175","$16,000","$40,000","$15,000","$32,000","$17,000","$423,175",894%,"$4,634,100"
15,2,"$300,000","$24,300","$16,000","$40,000","$15,000","$34,000","$18,000","$447,300",844%,"$5,081,400"
16,2,"$300,000","$25,425","$16,000","$40,000","$15,000","$36,000","$18,000","$450,425",766%,"$5,531,825"
17,2,"$320,000","$26,550","$16,000","$45,000","$18,000","$38,000","$19,000","$482,550",745%,"$6,014,375"
18,2,"$320,000","$27,675","$16,000","$45,000","$18,000","$40,000","$19,000","$485,675",685%,"$6,500,050"
19,2,"$340,000","$28,800","$16,000","$45,000","$18,000","$42,000","$20,000","$509,800",660%,"$7,009,850"
20,2,"$340,000","$31,500","$19,600","$50,000","$20,000","$45,000","$21,000","$527,100",626%,"$7,536,950"
21,2,"$360,000","$32,625","$19,600","$50,000","$20,000","$47,000","$22,000","$551,225",605%,"$8,088,175"
22,2,"$360,000","$33,750","$19,600","$50,000","$20,000","$49,000","$22,000","$554,350",564%,"$8,642,525"
23,2,"$380,000","$34,875","$19,600","$55,000","$22,000","$51,000","$23,000","$585,475",554%,"$9,228,000"
24,2,"$380,000","$36,000","$19,600","$55,000","$22,000","$53,000","$23,000","$588,600",521%,"$9,816,600"
25,3,"$420,000","$42,000","$21,000","$60,000","$25,000","$58,000","$26,000","$652,000",530%,"$10,468,600"
26,3,"$420,000","$43,050","$21,000","$60,000","$25,000","$60,000","$26,000","$655,050",491%,"$11,123,650"
27,3,"$440,000","$44,100","$21,000","$60,000","$25,000","$62,000","$27,000","$679,100",472%,"$11,802,750"
28,3,"$440,000","$45,150","$21,000","$60,000","$25,000","$64,000","$27,000","$682,150",443%,"$12,484,900"
29,3,"$460,000","$46,200","$21,000","$65,000","$28,000","$66,000","$28,000","$714,200",434%,"$13,199,100"
30,3,"$460,000","$47,250","$21,000","$65,000","$28,000","$68,000","$28,000","$717,250",409%,"$13,916,350"
31,3,"$480,000","$49,350","$21,000","$70,000","$28,000","$71,000","$29,000","$748,350",402%,"$14,664,700"
32,3,"$480,000","$50,400","$21,000","$70,000","$28,000","$73,000","$29,000","$751,400",381%,"$15,416,100"
33,3,"$500,000","$51,450","$21,000","$70,000","$28,000","$75,000","$30,000","$775,450",372%,"$16,191,550"
34,3,"$500,000","$52,500","$21,000","$70,000","$28,000","$77,000","$30,000","$778,500",354%,"$16,970,050"
35,3,"$520,000","$53,550","$21,000","$75,000","$30,000","$79,000","$31,000","$809,550",351%,"$17,779,600"
36,3,"$520,000","$54,600","$21,000","$75,000","$30,000","$81,000","$31,000","$812,600",335%,"$18,592,200"
37,4,"$540,000","$58,500","$23,000","$80,000","$32,000","$85,000","$33,000","$851,500",332%,"$19,443,700"
38,4,"$540,000","$59,475","$23,000","$80,000","$32,000","$87,000","$33,000","$854,475",315%,"$20,298,175"
39,4,"$560,000","$60,450","$23,000","$80,000","$32,000","$89,000","$34,000","$878,450",307%,"$21,176,625"
40,4,"$560,000","$61,425","$23,000","$80,000","$32,000","$91,000","$34,000","$881,425",294%,"$22,058,050"
41,4,"$580,000","$62,400","$23,000","$85,000","$35,000","$93,000","$35,000","$913,400",295%,"$22,971,450"
42,4,"$580,000","$63,375","$23,000","$85,000","$35,000","$95,000","$35,000","$916,375",278%,"$23,887,825"
43,4,"$600,000","$65,325","$23,000","$90,000","$35,000","$98,000","$36,000","$947,325",275%,"$24,835,150"
44,4,"$600,000","$66,300","$23,000","$90,000","$35,000","$100,000","$36,000","$950,300",264%,"$25,785,450"
45,4,"$620,000","$67,275","$23,000","$90,000","$35,000","$102,000","$37,000","$974,275",260%,"$26,759,725"
46,4,"$620,000","$68,250","$23,000","$90,000","$35,000","$104,000","$37,000","$977,250",250%,"$27,736,975"
47,4,"$640,000","$69,225","$23,000","$95,000","$38,000","$106,000","$38,000","$1,009,225",249%,"$28,746,200"
48,4,"$640,000","$70,200","$23,000","$95,000","$38,000","$108,000","$38,000","$1,012,200",241%,"$29,758,400"
49,5,"$660,000","$73,920","$25,000","$100,000","$40,000","$112,000","$40,000","$1,050,920",238%,"$30,809,320"
50,5,"$660,000","$74,820","$25,000","$100,000","$40,000","$114,000","$40,000","$1,053,820",228%,"$31,863,140"
51,5,"$680,000","$75,720","$25,000","$100,000","$40,000","$116,000","$41,000","$1,077,720",224%,"$32,940,860"
52,5,"$680,000","$76,620","$25,000","$100,000","$40,000","$118,000","$41,000","$1,080,620",215%,"$34,021,480"
53,5,"$700,000","$77,520","$25,000","$105,000","$42,000","$120,000","$42,000","$1,111,520",213%,"$35,133,000"
